transaction_id,sale_date,sale_time,customer_id,gender,age,age_group,city,store_branch,membership_tier,sales_channel,category,product_name,quantity,price_per_unit,cogs,discount_event,discount_pct,discount_amount,total_sale,profit,profit_margin_pct,payment_method,customer_rating,return_flag
Txn-00001,2024-05-02,15:12:00,Cust-0388,Female,56,46-60,Dhaka,Motijheel,Gold,Mobile App,Home & Garden,Curtains,1,99.92,51.49,,,,99.92,48.43,48.47,Cash,4.7,No
Txn-00002,2023-06-30,20:02:00,Cust-0429,Male,63,60+,Sylhet,Zindabazar,Platinum,Online,Books & Stationery,Desk Organizer,2,18.97,8.17,Eid Sale,5,1.9,36.04,19.7,54.66,Gift Card,3.4,Yes
Txn-00003,2023-12-10,14:41:00,Cust-0279,Female,23,18-25,Rajshahi,Upashahar,Gold,In-Store,Toys & Kids,Doll,1,129.15,55.4,,,,129.15,73.75,57.1,Mobile Payment,3.6,No
Txn-00004,2023-01-15,18:50:00,Cust-0152,Female,61,60+,Chittagong,Agrabad,Platinum,In-Store,Food & Grocery,Olive Oil,2,38.6,21.65,Flash Sale,25,19.3,57.9,14.6,25.22,Mobile Payment,3.7,No
Txn-00005,2023-05-24,15:59:00,Cust-0128,Male,26,26-35,Sylhet,Zindabazar,Bronze,Online,Electronics,Smartwatch,1,606.18,357.68,New Year Sale,15,90.93,515.25,157.57,30.58,Debit Card,3.8,No
Txn-00006,2023-05-02,15:10:00,Cust-0208,Female,34,26-35,Comilla,Kandirpar,Bronze,In-Store,Home & Garden,Cookware Set,4,198.84,90.5,,,,795.36,433.36,54.49,Mobile Payment,1.6,No
Txn-00007,2024-09-12,15:44:00,Cust-0282,Male,55,46-60,Rajshahi,Upashahar,Platinum,Mobile App,Toys & Kids,Rc Car,2,116.66,57.09,,,,233.32,119.14,51.06,Debit Card,1.3,No
Txn-00008,2023-03-05,19:57:00,Cust-0259,Male,68,60+,Comilla,Tomsom Bridge,Silver,In-Store,Food & Grocery,Olive Oil,3,14.05,7.96,,,,42.15,18.27,43.35,Gift Card,2.8,No
Txn-00009,2023-05-16,16:29:00,Cust-0289,Male,65,60+,Chittagong,Nasirabad,Silver,In-Store,Electronics,Monitor,1,1025.51,567.38,Eid Sale,5,51.28,974.23,406.85,41.76,Gift Card,1.3,No
Txn-00010,2024-12-18,10:03:00,Cust-0479,Male,51,46-60,Mymensingh,Charpara,Bronze,Online,Clothing,Boots,1,22.46,10.45,Flash Sale,15,3.37,19.09,8.64,45.26,Mobile Payment,2.5,No
Txn-00011,2024-11-08,19:08:00,Cust-0335,Male,22,18-25,Chittagong,Gec Circle,Silver,In-Store,Sports,Dumbbells,2,48.02,23.02,,,,96.04,50.0,52.06,Debit Card,2.9,No
Txn-00012,2024-03-10,16:52:00,Cust-0118,Male,27,26-35,Dhaka,Gulshan,Non-Member,Mobile App,Food & Grocery,Chocolate Box,1,24.04,15.4,,,,24.04,8.64,35.94,Mobile Payment,,Yes
Txn-00013,2023-01-17,13:04:00,Cust-0052,Female,45,36-45,Mymensingh,Charpara,Silver,Online,Electronics,Monitor,2,916.79,510.93,,,,1833.58,811.72,44.27,Credit Card,3.2,No
Txn-00014,2023-02-27,12:18:00,Cust-0120,Female,21,18-25,Rajshahi,Upashahar,Non-Member,Online,Sports,Water Bottle,4,58.83,32.23,Weekend Deal,10,23.53,211.79,82.87,39.13,Debit Card,1.2,Yes
Txn-00015,2023-06-29,17:27:00,Cust-0285,Female,69,60+,Sylhet,Ambarkhana,Bronze,Online,Toys & Kids,Lego Set,4,146.12,73.16,Weekend Deal,15,87.67,496.81,204.17,41.1,Credit Card,2.2,No
Txn-00016,2024-07-04,15:54:00,Cust-0116,Male,53,46-60,Mymensingh,Ganginar Par,Non-Member,Online,Home & Garden,Lamp,4,245.62,118.97,Flash Sale,25,245.62,736.86,260.98,35.42,Credit Card,2.0,No
Txn-00017,2023-03-22,20:54:00,Cust-0190,Female,46,46-60,Narayanganj,Tanbazar,Bronze,In-Store,Clothing,Dress,1,27.11,11.95,,,,27.11,15.16,55.92,Gift Card,3.9,No
Txn-00018,2024-05-05,13:58:00,Cust-0171,Female,32,26-35,Chittagong,Nasirabad,Gold,Mobile App,Home & Garden,Bed Sheets,1,79.31,40.54,Clearance,10,7.93,71.38,30.84,43.21,Credit Card,2.6,No
Txn-00019,2023-11-26,18:24:00,Cust-0239,Female,40,36-45,Comilla,Tomsom Bridge,Silver,Online,Sports,Tennis Racket,2,63.39,30.08,,,,126.78,66.62,52.55,Credit Card,2.5,No
Txn-00020,2024-07-30,19:47:00,Cust-0075,Female,36,36-45,Sylhet,Zindabazar,Silver,Online,Electronics,Smartwatch,2,852.3,560.81,Eid Sale,10,170.46,1534.14,412.52,26.89,Credit Card,2.5,No
Txn-00021,2024-05-26,16:43:00,Cust-0173,Female,35,26-35,Khulna,Boyra,Non-Member,In-Store,Home & Garden,Candle Set,2,290.62,137.63,,,,581.24,305.98,52.64,Credit Card,3.9,No
Txn-00022,2024-07-09,21:03:00,Cust-0269,Female,62,60+,Khulna,Kda Avenue,Gold,In-Store,Electronics,Laptop,2,1420.52,944.15,Flash Sale,10,284.1,2556.94,668.64,26.15,Credit Card,1.0,No
Txn-00023,2024-01-18,10:40:00,Cust-0342,Female,58,46-60,,Boyra,Platinum,Mobile App,Toys & Kids,Science Kit,2,12.2,5.63,,,,24.4,13.14,53.85,Debit Card,1.1,No
Txn-00024,2024-11-21,15:58:00,Cust-0092,Female,68,60+,Mymensingh,Charpara,Platinum,Online,Clothing,Jeans,1,138.23,61.23,Eid Sale,15,20.73,117.5,56.27,47.89,Cash,2.5,No
Txn-00025,2024-08-01,13:44:00,Cust-0116,Male,47,46-60,Mymensingh,Charpara,Non-Member,Online,Home & Garden,Cookware Set,3,203.05,104.36,,,,609.15,296.07,48.6,Mobile Payment,3.2,No
Txn-00026,2023-01-10,17:05:00,Cust-0256,Male,37,36-45,Narayanganj,Tanbazar,Bronze,In-Store,Books & Stationery,Journal,3,47.44,14.91,Weekend Deal,5,7.12,135.2,90.47,66.92,Gift Card,2.9,No
Txn-00027,2023-03-18,17:17:00,Cust-0461,Female,49,46-60,Narayanganj,Deobhog,Bronze,In-Store,Electronics,Tablet,1,1396.71,969.62,,,,1396.71,427.09,30.58,Debit Card,1.6,No
Txn-00028,2024-02-03,17:34:00,Cust-0170,Female,40,36-45,Narayanganj,Tanbazar,Bronze,Online,Books & Stationery,Planner,2,64.29,20.04,New Year Sale,5,6.43,122.15,82.07,67.19,Credit Card,4.4,No
Txn-00029,2024-09-20,20:25:00,Cust-0497,Male,33,26-35,Dhaka,Mirpur,Gold,Mobile App,Sports,Yoga Mat,3,132.31,61.87,,,,396.93,211.32,53.24,Mobile Payment,2.7,No
Txn-00030,2024-11-07,15:49:00,Cust-0317,Female,67,60+,Chittagong,Nasirabad,Non-Member,Online,Home & Garden,Rug,1,219.67,92.95,,,,219.67,126.72,57.69,Debit Card,2.4,No
