transaction_id,sale_date,sale_time,customer_id,gender,age,age_group,city,store_branch,membership_tier,sales_channel,category,product_name,quantity,price_per_unit,cogs,discount_event,discount_pct,discount_amount,total_sale,profit,profit_margin_pct,payment_method,customer_rating,return_flag
TXN-01009,7/23/2023,16:45:00,CUST-0171,Female,32,26-35,Chittagong,GEC Circle,Gold,Online,Food & Grocery,Nuts Mix,1,48.64,26.98,Flash Sale,15,7.3,41.34,14.36,34.74,Debit Card,2.8,No
TXN-00515,12/9/2024,13:34:00,CUST-0064,,21,18-25,Narayanganj,Tanbazar,Silver,In-Store,electronics ,Smartphone,1,199.08,124.77,Flash Sale,10,19.91,179.17,54.4,30.36,Cash,1.9,No
TXN-00167,1/15/2024,11:02:00,CUST-0371,Female,28,26-35,Rajshahi,Shaheb Bazar,Platinum,Mobile App,books & stationery,Pen Set,2,51.05,20.76,None,0,0,102.1,60.58,59.33,Mobile Payment,,No
TXN-01318,6/5/2024,15:26:00,CUST-0361,Male,39,36-45,Narayanganj,Deobhog,Bronze,In-Store,Books & Stationery,Journal,3,74.89,33.17,None,0,0,224.67,125.16,55.71,Gift Card,4.5,No
TXN-00013,1/17/2023,13:04:00,CUST-0052,Female,45,36-45,Mymensingh,Charpara,Silver,Online,Electronics,Monitor,2,916.79,510.93,None,0,0,1833.58,811.72,44.27,Credit Card,3.2,No
TXN-00830,6/7/2024,15:53:00,CUST-0104,Male,60,46-60,Comilla,Kandirpar,Gold,Online,Home & Garden,Curtains,4,74.82,34.33,Eid Sale,20,59.86,239.42,102.1,42.64,Gift Card,4.9,No
TXN-00516,12/28/2023,17:14:00,CUST-0472,Male,38,36-45,Comilla,Kandirpar,Bronze,Mobile App,Books & Stationery,Notebook,5,41.89,13.98,Eid Sale,15,31.42,178.03,108.13,60.74,Debit Card,1.5,Yes
TXN-01415,2/17/2024,18:38:00,CUST-0398,Male,67,60+,Narayanganj,Tanbazar,Non-Member,Mobile App,Books & Stationery,Textbook,1,48.9,18.94,Clearance,10,4.89,44.01,25.07,56.96,Cash,4.8,no
TXN-01950,6/13/2023,12:26:00,CUST-0022,Female,35,26-35,Chittagong,GEC Circle,Bronze,Online,Electronics,Tablet,2,1332.47,863.25,Clearance,15,399.74,2265.2,538.7,23.78,Cash,2.3,No
TXN-01324,2/19/2024,13:49:00,CUST-0010,Female,40,36-45,Khulna,Boyra,Platinum,Online,Sports,Dumbbells,5,166.06,70.95,None,0,0,830.3,475.55,57.27,Credit Card,3.6,No
